"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
US48,"5/25/2024 12 a.m. EDT",54995.2,2283.5,36976.54,11565.89,349,202051.66,75262.92,90625
US48,"5/25/2024 1 a.m. EDT",57871.28,776.55,35616.32,11185.25,356,183724.56,69339.92,90320
US48,"5/25/2024 2 a.m. EDT",60192.57,516.78,33157.75,9717.77,358,169618.66,65174.56,89968
US48,"5/25/2024 3 a.m. EDT",61806.28,273.68,30929.97,7958.73,358,157053.62,60216.55,90021
US48,"5/25/2024 4 a.m. EDT",62973.04,217.29,28902.5,6194.86,360,149144.72,55848.42,90031
US48,"5/25/2024 5 a.m. EDT",63825.27,241.12,27780.26,6242.76,361,145043.86,52279.99,90106
US48,"5/25/2024 6 a.m. EDT",64430.47,430.88,26400.57,5543.89,360,143004.42,50931.14,90149
US48,"5/25/2024 7 a.m. EDT",65050.15,1963.15,25910.6,5530.69,355,143364.76,49827.87,90158
US48,"5/25/2024 8 a.m. EDT",62247.7,6659.93,27710.48,5542.84,356,144178.12,50312.12,90117
US48,"5/25/2024 9 a.m. EDT",58197.21,17632.82,29129.39,6161.01,362,148602.52,52087.98,90115
US48,"5/25/2024 10 a.m. EDT",54690.35,34400.05,28447.37,6252.69,321,151626.46,52985.52,90071
US48,"5/25/2024 11 a.m. EDT",56876.57,49887.62,27394.3,6394.88,1155,155600.72,55244.88,90018
US48,"5/25/2024 12 p.m. EDT",57602.23,61721.06,26757.25,5273.79,1188,163973.62,58388.92,89964
US48,"5/25/2024 1 p.m. EDT",59341.93,65453.46,28236.73,4466.97,1075,175261.66,62381.16,89960
US48,"5/25/2024 2 p.m. EDT",61304.92,65887.14,28858.53,4603.41,1138,183946.48,66128.53,89917
US48,"5/25/2024 3 p.m. EDT",64690.92,65876.4,31323.45,4281.76,1205,191192.16,68511.58,89989
US48,"5/25/2024 4 p.m. EDT",65252.92,64566.37,34180.03,3496.78,1187,200613.96,71927.13,90030
US48,"5/25/2024 5 p.m. EDT",66838.92,61978.14,36931.58,3235.81,1253,207720.28,73600.92,89998
US48,"5/25/2024 6 p.m. EDT",66645.92,56101.12,38720.41,3125.34,1449,212576.86,76162.91,89995
US48,"5/25/2024 7 p.m. EDT",66977.92,48690.86,39110.04,3348.5,1507,215199.22,76884.9,90034
US48,"5/25/2024 8 p.m. EDT",67772.92,39362.78,39158.73,4392.16,1173,213156.26,76769.79,90058
